Galatians 1:1-6	Galatians 1:7-12	Galatians 1:13-18	Galatians 2:10-15	Galatians 2:15-21
Who was Paul and Apostle by? 	According to Galatians 1:7. What did those that troubled the churches do to the Gospel of Christ? 	According to Galatians 1:13, what two things did Paul do unto the church of God before he was saved? 	According to Galatians 2:12, who did James eat with before certain men came?	Through the law Paul became what?
Jesus Christ and God the Father	They perverted it.	Persecuted it, and wasted it.	The Gentiles	Dead to the law
To whom was this Book of the Bible written? 	What did Paul say should happen to someone that preaches a different gospel? 	According to Galatians 1:14, what was Paul “Exceedingly Zealous” of?	Who did Paul withstand to the face?	If Paul were to build again the things which he destroyed, he would make himself what?
The Churches of Galatia	 They should be “accursed”.	The traditions of his fathers.	Peter	 A transgressor
According to Galatians 1:4, why did Jesus Christ give himself for our sins?	What two creatures did Paul say should not preach another gospel message? 	According to Galatians 1:15, what did God separate Paul from?	According to Galatians 2:14, how did Peter compel the gentile to live? 	According to Galatians 2:16, by what is a man justified?
To deliver us from this present evil wor	Men and Angels	His mother’s womb.	As to the Jews 	By the faith of Jesus Christ
In Galatians 1:6, what caused Paul to “marvel”? 	Paul said that if he was seeking to please men then he should not be what? 	Paul said he immediately conferred not with what? 	Why did Paul withstand Peter to the face? 	Why was Paul dead to the law? 
The church had been so soon removed from	The servant of Christ	Flesh and blood.	He was to be blamed	That he might live unto God
According to Galatians 1: 6, into what had God called the Christians of the churches of Galatia? 	Paul said the gospel that he preached was not after what? 	How many days did Paul stay with Peter in Jerusalem? 	By what was Barnabas carried away?	According to Galatians 2:21, Christ is dead in vain if what?
Into the grace of Christ.	Man	15 Days	Their dissimulation	If righteousness come by the law
