1 Kings	1 Kings	2 Kings	2 Kings	Animals
David swore that who would reign after him? 	What did Solomon ask God for? 	What did Ahaziah fall through?	What did Elisha tell the three kings to do? 	According to Deuteronomy, what water animals were clean and ok to eat?
Solomon	An understanding heart to judge 	A lattice 	Make this valley full of ditches	Those that had fins and scales
Where was David buried? 	How did Solomon know which woman to give the baby to? 	What did Elisha ask for from Elijah before he was taken away?	What did the king of Moab offer as a burnt offering?	The man in Song of Solomon compares his bride’s hair to what?
The city of David 	He told them to divide it in two and giv	A double portion of his spirit	His eldest son 	A flock of goats
What did the people say when Solomon was anointed?	How many horsemen did Solomon have?	How did Elijah go up to Heaven?	What did the Shunammite woman place Elisha’s chamber?	What two animals will pose no threat to a very young child?
God Save King Solomon	Twelve thousand	A whirlwind 	A bed, a table, a stool, and a candlesti	Asp & Cockatrice
If wickedness was found in Adonijah what would happen?	What did Solomon purpose to build?	How did Elisha “heal” the water?	What did the Shunammite woman’s son do 7 times before opening his eyes?	A hireling will leave the sheep he is watching when what animal comes?
He would die	A house unto the name of the Lord	He cast salt in it 	Sneeze	Wolf 
Who did Solomon love? 	What was not heard in the house of the Lord while it was being built?	Who put away the image of Baal that his father had made? 	What did Elisha tell Naaman to do?	Daniel had a vision of four beasts. Three of them were compared to actual animals. Name them. 
The Lord	Hammer, axe, or any tool of iron	Jehoram	Wash in Jordan 7 times	A lion with eagles’ wings; a bear; a leo
