Judges 3	Judges 4	Judges 6	Judges 7	Judges 9
Whom did the king of Moab gather unto himself to smite the Israelites? 	Over what city did the King of Canaan reign? 	What did the Israelites finally do after suffering under the hand of the Midianites for seven years? 	What did the Lord say about the people that were with Gideon? 	Why did Abimelech not kill Jotham?
The Ammonites and the Amalekites	Hazor	Cry to the Lord	They were too many	He hid himself
Describe Ehud’s dagger.	What did the Israelites do when Ehud was dead? 	Where was Gideon threshing wheat?	What was the first way in which the Lord decreased the number of Gideon’s army?	Who did the men of Shechem make king? 
It had 2 edges and was a cubit long	Evil in the sight of the Lord	By the winepress	Said that anyone who was afraid could go	Abimelech
How long did the land have rest after the Moabites were subdued? 	How many chariots did Sisera have?	What did the Lord say he would do through Gideon?	How big was Gideon’s army after the first reduction?	What did Abimelech sow the city with?
Fourscore (80) years	900	He would save Israel from the hand of th	 10,000	Salt
How many Philistines did Shamgar slay? 	How long did Sisera oppress the Israelites?	What did the Lord tell Gideon to do to his father’s altar of Baal? 	What was the second way in which the Lord decreased Gideon’s army? 	How many men and woman died in the tower of Shechem? 
600	20 years	Throw it down and cut down the grove by 	If they stuck their face in the water to	About a thousand
What weapon did Shamgar use?	Who did Deborah send for?	What did Gideon say about his family and himself? 	What was the final number of Gideon’s army?	Who did Abimelech ask to slay him?
An ox goad	Barak	His family was poor in Manasseh and he w	300	His armourbearer
