Ezra 1	Ezra 2	Ezra 2	Villains	Judges 4
According to Cyrus, who had given him all the kingdoms of the earth?	Who brought the cedar trees by sea to Joppa?	How often did they offer burnt offerings during the Feast of Tabernacles?	Which disciple betrayed Jesus?	Who was the prophetess who judged Israel? 
The Lord God of heaven	The people of Zidon and Tyre	Daily	Judas Iscariot	Sisera
Which tribes are mentioned as preparing to go up to Jerusalem?	What musical instruments did the Levites use?	Was the foundation of the temple laid before they offered sacrifices?	What two men opposed the work Nehemiah was doing to rebuild the wall at Jerusalem?	Who was the Captain of Jabin’s host?
Judah and Benjamin	Cymbals	No	Sanballat and Tobiah	our faces
Who had taken the vessels from the temple originally?	What musical instruments did the priests use?	When did they begin offering burnt offerings to the Lord?	Who was hanged on the gallows he built for Mordecai? 	How many chariots did Sisera have?
Nebuchadnezzar	Trumpets	From the first day of the seventh month	Haman	900
What did the Lord stir up in King Cyrus?	What special festival did they keep as it is written in the law of Moses?	Why did they build the altar of God?	What parts of Jezebel were found after she was thrown from a tower?	Into whose tent did Sisera flee? 
His spirit	The Feast of Tabernacles	To offer burnt offerings on it	Skull, Feet, Palms of hands	Jael
Who helped the returning Jews with gifts and supplies?	What was Jeshua's job or title?	From where did they get cedar trees?	Where did Cain live after he was sent from the presence of the Lord? 	How did Jael kill Sisera?
All those around them	Priest	Lebanon	The land of Nod	Hammered a tent spike through his skull
