Random	Random	Random	Random	Random
How many commandments are there?	Who were the first people God created?	Who baptized Jesus?	Who were the ten commandments given to?	What did God use to create Eve?
10	Adam and Eve were the first humans creat	John the Baptist baptized Jesus	Moses	Rib
What’s the first book in the Bible?	Who betrayed Jesus?	What is the common name of the first four books in the New Testament?	Who was given the coat of many colors?	Who were the first children on this Earth?
Genesis	Judas betrayed Jesus	The Gospels	Joseph	Cain and Abel were the first children bo
How many of each animal came onto the ark?	For how many days and nights did Jesus fast?	Where was Jesus crucified?	What sea did Jesus calm in the storm?	How many books are in the Bible?
2	Jesus fasted for forty days and forty ni	Jerusalem or calvary	Galilee	66
Who built the ark?	Why did Adam and Eve get expelled from the Garden of Eden?	How many apostles did Jesus have?	How many times did Peter deny Jesus?	What does the word Gospel mean?
Noah	Adam and Eve took a bite of the forbidde	12	3	good news
When did Jesus rise from the dead?	What happened on Palm Sunday?	Where did Jesus grow up?	Where did God send the ten plagues?	What did Jesus turn into wine?
Sunday or 3rd day	 Jesus entered Jerusalem on a donkey	Nazareth	Egypt	Water
