Acts 14	Acts 15	Acts 16	Acts 17	
After going to Attalid, where did Paul and Barnabas sail to?	What is known unto God?	What happened to everyone’s bands in the jail when the doors were opened?	When Paul was sent away from Berea, who abode there still?	
Antioch	All his works from the beginning of the 	They were loosed	Silas and Timotheus	
How long had the crippled man been crippled? 	Who recieved Paul and Barnabas when they were come to Jerusalem? 	What was the woman’s name who was a seller of purple?	What did Paul say God winked at? 	
Since being in his mother’s womb	The church, and of the apostles and elde	Lydia	The times of this ignorance	
Who did they ordain in every church?	What happened when Paul and Barnabas declared the conversion of the Gentiles in Phenice and Samaria?	What did Paul and Silas do at midnight?	What did the people do when they heard of the resurrection of the dead?	
Elders	They caused great joy unto all the breth	Prayed and sang praises unto God	Some mocked: and others said, we will he	
What did the Jews from Antioch and Iconium do to Paul?	Who did the apostles and elders want to send to Antioch with Paul and Barnabas?	When Paul spoke to the spirit in the damsel, what happened? 	What inscription was written on an altar that Paul passed?	
Stoned him and drew him out of the city	 Judas and Silas	He came out the same hour	TO THE UNKNOWN GOD	
What did the people say when they saw Paul heal the Crippled man?	What did the men from Judea teach? 	What question did the keeper of the prison ask Paul and Silas? 	How were the Jews in Berea more noble than the Jews in Thessalonica?	
The gods are come down to us in the like	Except ye be circumcised after the manne	Sirs, what must I do to be saved?	They received the word with all readines	
