Church in Acts	Church in Acts	Church in Acts	Church in Acts	Church in Acts
From which mount did Jesus ascend to heaven? 	How many disciples were assembled in the upper room? 	When the disciples were filled with the holy Ghost, they began to do what? 	What happened when the Jews heard Peters preaching? 	On the day of Pentecost, how many souls were added to the church? 
Mount of Olives / Olivette	 About 120	Speak with other tongues.	They were pricked in their heart	3,000
Jesus told the Apostles that it was not for them to know the _________ and ___________ which the father hath put in his own power.	When the day of Pentecost was fully come, what appeared upon each of the disciples?	What Old Testament prophet did he say prophesied about the day of Pentecost? 	When the Jews asked the Jews what they should do, what did Peter tell them? 	The people that were saved on the day of Pentecost continued steadfastly in what?
Times and Seasons.	Cloven tongues like as of fire.	Joel	Repent and be baptized.	The apostle’s doctrine and fellowship, a
All the believers assembled in the upper room and continued in one accord with what?	What Apostles were present in the upper room? 	How was Jesus of Nazareth approved of God among men?	God said that he would not leave Christ’ soul where? 	Those that were saved on Pentecost had favor with who?
Prayer and Supplication	Peter, James, john, Andrew, Philip, Thom	By miracles wonders and signs	In hell	All people
According to the two men in white apparel, in what manner will Jesus’ return? 	How far does Acts 1 say that mount Olivette is from Jerusalem. 	On whom did Joel say that God would pour out his Spirit?	What did those that gladly received Peters word do? 	Who baptized with water?
In like manner as ye have seen him go in	A sabbath day’s journey.	His servants and handmaids.	They were baptized.	John the baptist
Jesus told the Apostles to not leave Jerusalem, but to wait for what? 	Who became the replacement for Judas Iscariot? 	On the day of Pentecost, who was dwelling at Jerusalem?	Christ is sitting at the right hand of the father until when? 	What did the disciples want the Lord to restore?
The promise of the father/the holy ghost	Matthias.	Devout Jews of every nation	Till his foes are made to be his footsto	The kingdom to Israel
