Isaiah 53	Animals of the Bible	Battles of the Bible	Villains of the Bible	Galatians
What is a sheep before her shearers?	In the account of the rich man & Lazarus, what animal came and licked Lazarus’ wounds? 	Whom did Abram arm to fight with him?	Which king of Israel was said to be more wicked than them all? 	According to Galatians 1:7. What did those that troubled the churches do to the Gospel of Christ? 
Dumb	Dog	His trained servants	Ahab	They perverted it
When he was oppressed and afflicted what did he not do? 	Samson caught 300 of these animals and put a firebrand between their tails. 	How many kings were on the side opposing Sodom & Gomorrah?	Which king of Judah was said to be more wicked than them all?	According to Galatians 1:14, what was Paul “Exceedingly Zealous” of? 
open his mouth	Fox	4	Manasseh	The traditions of his fathers
Where did he make his grave? 	What type of bird did the Holy Spirit descend like at Jesus baptism?	How many days did they march around Jericho? 	Who was consenting to Stephen’s death and persecuted the church?	According to Galatians 2:16, by what is a man justified?
with the wicked and with the rich	Dove	7	Saul	By the faith of Jesus Christ
When his soul is made an offering for sin, what is the first thing that will happen?	If we wait on the Lord, we will mount up with wings as what bird?	Who took from Jericho that which was not to be taken?	Which King saw the handwriting on the wall? 	Before faith came, we were kept under what?
he shall see his seed	Eagles	Achan	Belshazzar	The Law
Who will he divide the spoil with?	What animal did God use to make the clothes for Adam & Eve?	How many men did Gideon start with?	How long after his dream was Nebuchadnezzar driven to the fields to live like a beast?	According to Galatians 4:14, how did the Galatians receive Paul?
the strong	Doesnt Say	32000	12 months	As an angel of God and as Christ Jesus h
