Verses 1-6	Verses 7-12	Verses 13-18	Verses 19-24	
Who was Paul and Apostle by? 	According to Galatians 1:7. What did those that troubled the churches do to the Gospel of Christ? 	According to Galatians 1:13, what two things did Paul do unto the church of God before he was saved? 	Besides Peter, who was the only other apostle that Paul saw while in Jerusalem? 	
Jesus Christ and God the Father	They perverted it.	Persecuted it, and wasted it.	James, the Lord’s brother.	
To whom was this Book of the Bible written? 	What did Paul say should happen to someone that preaches a different gospel? 	According to Galatians 1:14, what was Paul “Exceedingly Zealous” of?	After his visit in Jerusalem, what two regions did Paul visit? 	
The Churches of Galatia	 They should be “accursed”.	The traditions of his fathers.	Syria and Cilicia	
According to Galatians 1:4, why did Jesus Christ give himself for our sins?	What two creatures did Paul say should not preach another gospel message? 	According to Galatians 1:15, what did God separate Paul from?	According to Galatians 1:22, Paul was unknown by face to who? 	
To deliver us from this present evil wor	Men and Angels	His mother’s womb.	The Churches of Judea	
In Galatians 1:6, what caused Paul to “marvel”? 	Paul said that if he was seeking to please men then he should not be what? 	Paul said he immediately conferred not with what? 	What had the churches of Judea heard about Paul? 	
The church had been so soon removed from	The servant of Christ	Flesh and blood.	 That he which persecuted us in times pa	
According to Galatians 1: 6, into what had God called the Christians of the churches of Galatia? 	Paul said the gospel that he preached was not after what? 	How many days did Paul stay with Peter in Jerusalem? 	According to Galatians 1:24, what did the churches of Judea do when the heard about Paul being saved? 	
Into the grace of Christ.	Man	15 Days	They glorified God	
